metabolics_all_avg,subjectname,condname,experimentname,trialname
5.015767,sild016,sildbw5,silder,trial01
7.25848,sild016,sildbw10,silder,trial01
3.797262,sild016,sild10w0,silder,trial01
5.715905,sild016,sild10w5,silder,trial01
7.922015,sild016,sild10w10,silder,trial01
3.571895,sild016,sild20w0,silder,trial01
5.828532,sild016,sild20w5,silder,trial01
8.827055,sild016,sild20w10,silder,trial01
4.138679,sild016,sild30w0,silder,trial01
2.41288,sild017,sildbw0,silder,trial01
4.33092,sild017,sildbw5,silder,trial01
6.67901,sild017,sildbw10,silder,trial01
2.92373,sild017,sild10w0,silder,trial01
4.79287,sild017,sild10w5,silder,trial01
7.25605,sild017,sild10w10,silder,trial01
3.29581,sild017,sild20w0,silder,trial01
5.39972,sild017,sild20w5,silder,trial01
7.65709,sild017,sild20w10,silder,trial01
3.4348,sild017,sild30w0,silder,trial01
5.86537,sild017,sild30w5,silder,trial01
8.03553,sild017,sild30w10,silder,trial01
3.96774,sild018,sildbw0,silder,trial01
5.75231,sild018,sildbw5,silder,trial01
8.42629,sild018,sildbw10,silder,trial01
3.98862,sild018,sild10w0,silder,trial01
6.2543,sild018,sild10w5,silder,trial01
9.30149,sild018,sild10w10,silder,trial01
4.40788,sild018,sild20w0,silder,trial01
6.98432,sild018,sild20w5,silder,trial01
10.33559,sild018,sild20w10,silder,trial01
5.15082,sild018,sild30w0,silder,trial01
7.43102,sild018,sild30w5,silder,trial01
10.64459,sild018,sild30w10,silder,trial01
3.02499,sild020,sildbw0,silder,trial01
4.86583,sild020,sildbw5,silder,trial01
6.55165,sild020,sildbw10,silder,trial01
3.52678,sild020,sild10w0,silder,trial01
5.38214,sild020,sild10w5,silder,trial01
7.70516,sild020,sild10w10,silder,trial01
3.6297,sild020,sild20w0,silder,trial01
5.86067,sild020,sild20w5,silder,trial01
7.94906,sild020,sild20w10,silder,trial01
4.4794,sild020,sild30w0,silder,trial01
7.49055,sild020,sild30w5,silder,trial01
9.70896,sild020,sild30w10,silder,trial01
3.28503,sild022,sildbw0,silder,trial01
11.54961,sild022,sildbwrun0,silder,trial01
2.90585,sild022,sild10w0,silder,trial01
10.75751,sild022,sild10wrun0,silder,trial01
2.99274,sild022,sild20w0,silder,trial01
12.26101,sild022,sild20wrun0,silder,trial01
3.59947,sild022,sild30w0,silder,trial01
13.03501,sild022,sild30wrun0,silder,trial01
3.30547,sild024,sildbw0,silder,trial01
11.95482,sild024,sildbwrun0,silder,trial01
3.46015,sild024,sild10w0,silder,trial01
12.32532,sild024,sild10wrun0,silder,trial01
3.97418,sild024,sild20w0,silder,trial01
13.42852,sild024,sild20wrun0,silder,trial01
3.92062,sild024,sild30w0,silder,trial01
13.71392,sild024,sild30wrun0,silder,trial01
2.69237,sild025,sildbw0,silder,trial01
10.25596,sild025,sildbwrun0,silder,trial01
3.19022,sild025,sild10w0,silder,trial01
10.96946,sild025,sild10wrun0,silder,trial01
2.95653,sild025,sild20w0,silder,trial01
11.37116,sild025,sild20wrun0,silder,trial01
3.89753,sild025,sild30w0,silder,trial01
12.51556,sild025,sild30wrun0,silder,trial01
14.03366,sild025,running_96,silder,trial01
2.91156,sild026,sildbw0,silder,trial01
9.4231,sild026,sildbwrun0,silder,trial01
2.9722,sild026,sild10w0,silder,trial01
10.9364,sild026,sild10wrun0,silder,trial01
3.11345,sild026,sild20w0,silder,trial01
11.4109,sild026,sild20wrun0,silder,trial01
3.08157,sild026,sild30w0,silder,trial01
11.7291,sild026,sild30wrun0,silder,trial01
